호선,출발역,도착역
1호선,연천,청량리
1호선,청량리,구로
1호선,구로,인천
1호선,구로,가산디지털단지
1호선,가산디지털단지,금정
1호선,금정,병점
1호선,병점,서동탄
1호선,신창,병점
1호선,광명,금천구청
// 1호선 급행 고려 필요
2호선,신설동,성수
2호선,까치산,신도림
2호선,잠실,당산
2호선,당산,합정
2호선,합정,잠실
3호선,오금,대화
4호선,오이도,불암산
4호선,진접,불암산
5호선,하남검단산,방화
5호선,마천,강동
6호선,신내,응암
7호선,장암,석남
8호선,모란,별내
9호선,중앙보훈병원,개화
//9호선 급행 고려 필요
신분당선,광교,신사
수인분당선,왕십리,인천
// 수인분당선 청량리 제외(1시간에 1번 운행,환승 겹침)
경의선,지평,양원
경의선,양정,서빙고
경의선,한남,문산
// 경의선 임진강, 운천, 신촌, 서울역 제외(1시간에 1번 운행)
경춘선,청량리,춘천
//경춘선 광운대 제외(평일만 1일 2회 운행)
공항철도,인천공항2터미널,서울역
인천선,검단호수공원,송도달빛축제공원
인천2호선,검단오류,운연
GTX-A,운정중앙,서울역
GTX-A,수서,동탄
의정부경전철,탑석,발곡
우이신설경전철,북한산우이,신설동
김포도시철도,양촌,김포공항
용인경전철,기흥,전대.에버랜드
신림선,샛강,관악산
경강선,판교,여주
서해선,일산,원시
동대문역사문화공원환승(4-2),명동,상왕십리
동대문역사문화공원환승(5-4),청구,혜화
고속터미널환승(9-3),신반포,잠원
고속터미널환승(9-7),신반포,내방
왕십리환승(5-2),마장,상왕십리
왕십리환승(경의-수인분당),응봉,서울숲
사당환승(4-2),남태령,낙성대
충무로환승(4-3),명동,동대입구
교대환승(3-2),남부터미널,서초
잠실환승(2-8),잠실새내,석촌
군자환승(7-5),중곡,장한평
건대입구환승(7-2),어린이대공원,구의
천호환승(8-5),암사,광나루
합정환승(6-2),상수,신촌
영등포구청환승(5-2),영등포시장,문래
대림환승(7-2),신풍,구로디지털단지
공덕환승(공항철도-경의중앙),서강대,서울역
공덕환승(6-5),대흥,마포
을지로3가환승(3-2),동대입구,을지로입구
총신대입구환승(7-4),내방,신용산
약수환승(3-6),금호,버티고개
삼각지환승(4-6),신용산,녹사평
태릉입구환승(6-7),화랑대,먹골
신당환승(6-2),창신,상왕십리
가락시장환승(3-8),경찰병원,송파
노원환승(4-7),상계,중계
청구환승(6-5),버티고개,신금호
까치산환승(2-5),신정네거리,화곡
오금환승(3-5),경찰병원,개롱
성수환승(2-2),뚝섬,용답
을지로4가환승(2-5),을지로입구,광화문
충정로환승(5-2),서대문,아현
가산디지털단지환승(1-7),구로,철산
강남구청환승(7-수인분당),학동,압구정로데오
김포공항환승(공항철도-5),계양,개화산
김포공항환승(9-공항철도),계양,개화
김포공항환승(9-5),공항시장,송정
강남환승(신분당-2),청계산입구,역삼
논현환승(신분당-7),청계산입구,학동
신사환승(신분당-3),청계산입구,압구정
신논현환승(9-신분당),언주,청계산입구
양재환승(신분당-3),청계산입구,남부터미널
당산환승(9-2),선유도,신촌
도곡환승(수인분당-3),구룡,매봉
도봉산환승(1-7),도봉,장암
동대문환승(1-4),종로5가,혜화
동묘앞환승(1-6),종로5가,창신
동작환승(9-4),구반포,신용산
디지털미디어시티환승(공항철도-6),마곡나루,증산
디지털미디어시티환승(경의-6),수색,증산
모란환승(8-수인분당),수진,태평
복정환승(수인분당-8),가천대,장지
망우환승(경춘-경의),갈매,양원
상봉환승(경의-7),양원,중화
상봉환승(경춘-7),갈매,중화
서울역환승(공항철도-1),마곡나루,남영
서울역환승(공항철도-4),마곡나루,회현
석계환승(6-1),돌곶이,신이문
석촌환승(9-8),석촌고분,송파
선릉환승(수인분당-2),한티,역삼
수서환승(수인분당-3),대모산입구,일원
시청환승(1-2),종각,을지로입구
신길환승(1-5),영등포,영등포시장
신내환승(경춘-6),갈매,봉화산
신도림환승(1-2),영등포,문래
신설동환승(2-1),용두,동묘앞
여의도환승(9-5),국회의사당,여의나루
옥수환승(경의-3),한남,금호
온수환승(1-7),오류동,까치울
올림픽공원환승(9-5),한성백제,방이
이촌환승(경의-4),서빙고,신용산
종로3가환승(1-3),종로5가,안국
종로3가환승(1-5),종로5가,광화문
종합운동장환승(9-2),삼전,삼성
창동환승(1-4),방학,쌍문
홍대입구환승(경의-2),서강대,신촌
홍대입구환승(공항철도-2),마곡나루,이대
효창공원앞환승(경의-6),용산,녹사평
회기환승(경의-1),양원,외대앞
회기환승(1-경춘),외대앞,갈매
청량리환승(경의-1),왕십리,제기동
청량리환승(1-경춘),제기동,갈매
대곡환승(경의-3),행신,화정
노량진환승(9-1),노들,용산
인천환승(1-수인분당),동인천,신포
용산환승(경의-1),이촌,남영
